rank,title,artist
1,마음을 드려요,['아이유']
2,아무노래,['지코 (ZICO)']
3,METEOR,['창모 (CHANGMO)']
4,둘만의 세상으로 가,['Crush']
5,"다시 난, 여기",['백예린']
6,Psycho,['Red Velvet (레드벨벳)']
7,Blueming,['아이유']
8,Black Swan,['방탄소년단']
9,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),['방탄소년단']
10,늦은 밤 너의 집 앞 골목길에서,['노을']
11,HIP,['마마무 (Mamamoo)']
12,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,['장범준']
13,너를 사랑하고 있어,['백현 (BAEKHYUN)']
14,봄날,['방탄소년단']
15,어떤 날엔,['김재환']
16,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",['AKMU (악동뮤지션)']
17,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","['염따', '딥플로우', '팔로알토 (Paloalto)', 'The Quiett', '사이먼 도미닉']"
18,소우주 (Mikrokosmos),['방탄소년단']
19,Square (2017),['백예린']
20,빌었어,['창모 (CHANGMO)']
21,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),['마크툽 (MAKTUB)']
22,Love poem,['아이유']
23,Flower,['윤미래']
24,IDOL,['방탄소년단']
25,내 마음의 사진,['송가인']
26,마음이 말하는 행복 (Happiness) (Feat.이라온),['마크툽 (MAKTUB)']
27,안녕,['폴킴']
28,Make It Right,['방탄소년단']
29,사랑이란 멜로는 없어,['전상근']
30,Dionysus,['방탄소년단']
31,2002,['Anne-Marie']
32,"다시는 사랑하지 않고, 이별에 아파하기 싫어",['백지영']
33,조금 취했어 (Prod. 2soo),['임재현']
34,다시 만날까 봐,['V.O.S']
35,시작,['가호 (Gaho)']
36,나의 오랜 연인에게,['다비치']
37,노을,['다비치']
38,"모든 날, 모든 순간 (Every day, Every Moment)",['폴킴']
39,잘 지내고 있는지 궁금해,['V.O.S']
40,bad guy,['Billie Eilish']
41,헤어진 우리가 지켜야 할 것들,"['김나영', '양다일']"
42,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)","['Idina Menzel', 'Aurora']"
43,시든 꽃에 물을 주듯,['HYNN (박혜원)']
44,Birthday,['Anne-Marie']
45,포장마차,['황인욱']
46,나의 모든 날,['세정']
47,우리 왜 헤어져야 해,['신예영']
48,있어줘요,['장덕철']
49,Paris In The Rain,['Lauv']
50,Go away go away,"['찬열 (CHANYEOL)', '펀치 (Punch)']"
